timestamp,nanoseconds,roll,pitch
1731002550042680533,29929344,-8.90011694735051e-17,-1.178040376878834e-16
1731002550138077771,129934464,-8.899997305941353e-17,-1.1780369782696106e-16
1731002550238902245,229934208,-8.899895069534606e-17,-1.1780340739738006e-16
1731002550339104462,329934208,-8.899967252499601e-17,-1.1780361245319802e-16
1731002550438169881,429941376,-8.899621502517956e-17,-1.1780263021068395e-16
1731002550538435629,529941632,-8.899956570809526e-17,-1.1780358210918342e-16
1731002550639147008,629942144,-8.900173120380682e-17,-1.1780419725200094e-16
1731002550738049973,729941120,-8.90027423696562e-17,-1.1780448447469138e-16
1731002550843513378,829942400,-8.900075664164772e-17,-1.178039204177496e-16
1731002550942495374,929942400,-8.90049977695854e-17,-1.1780512508954824e-16
1731002551038274472,29948288,-8.900519995462512e-17,-1.178051825151065e-16
1731002551140755851,129954688,-8.900592179509165e-17,-1.1780538753261565e-16
1731002551238169204,229953152,-8.900926135072785e-17,-1.1780633597275506e-16
1731002551338315579,329960320,-8.90102810012747e-17,-1.1780662553505906e-16
1731002551439221141,429960320,-8.900929795352911e-17,-1.178063463674533e-16
1731002551538242907,529960320,-8.901232852668764e-17,-1.1780720696642104e-16
1731002551638510177,629966208,-8.901368234419659e-17,-1.1780759138593057e-16
1731002551739363222,729967488,-8.901380037112053e-17,-1.1780762489914287e-16
1731002551838047275,829965952,-8.901652769159671e-17,-1.1780839927389012e-16
1731002551938468034,929971584,-8.901937579707713e-17,-1.1780920787059022e-16
1731002552038737986,29971072,-8.901910338657146e-17,-1.178091305345953e-16
1731002552138472820,129971072,-8.902023810112643e-17,-1.1780945266995644e-16
1731002552238096819,229971072,-8.902153019153687e-17,-1.1780981946854134e-16
1731002552343379882,329972864,-8.902199359105577e-17,-1.1780995101465138e-16
1731002552438967819,429979520,-8.902471822739515e-17,-1.178107244225576e-16
1731002552538814644,529985152,-8.902655516153058e-17,-1.1781124581128786e-16
1731002552640548830,629992576,-8.902479965240549e-17,-1.1781074753459305e-16
1731002552738555726,729993344,-8.902678549504144e-17,-1.1781131118613347e-16
1731002552836882292,829993856,-8.902663384918256e-17,-1.1781126814501466e-16
1731002552938152336,929992576,-8.902612263388704e-17,-1.178111230469942e-16
1731002553043921834,29993600,-8.902737539896672e-17,-1.1781147861451503e-16
1731002553142607154,129994368,-8.902590350552866e-17,-1.1781106085115128e-16
1731002553238125404,230000000,-8.90277461743625e-17,-1.1781158384751684e-16
1731002553340740574,330001024,-8.902893146094425e-17,-1.1781192024559053e-16
1731002553438041421,430007168,-8.90290101491571e-17,-1.1781194257776153e-16
1731002553538114420,530014592,-8.903058588929157e-17,-1.1781238976999136e-16
1731002553640764045,630015360,-8.903174877424596e-17,-1.1781271978005546e-16
1731002553742666197,730015360,-8.903110831481895e-17,-1.1781253802839424e-16
1731002553838109248,830023040,-8.903077414342422e-17,-1.178124431946544e-16
1731002553940611658,930022016,-8.903464753326273e-17,-1.1781354235227913e-16
1731002554043251317,30022784,-8.903431335937345e-17,-1.1781344752867865e-16
1731002554137707255,130021504,-8.903597901397428e-17,-1.1781392015677109e-16
1731002554238551737,230025344,-8.903727389085967e-17,-1.1781428755941927e-16
1731002554343858435,330026624,-8.903767555237758e-17,-1.1781440152195948e-16
1731002554442057143,430026880,-8.903905759295314e-17,-1.1781479363399212e-16
1731002554538194180,530032512,-8.904099295332948e-17,-1.1781534270426977e-16
1731002554643614250,630032256,-8.904192552534161e-17,-1.1781560726679993e-16
1731002554742213044,730030976,-8.90426362251028e-17,-1.178158088807562e-16
1731002554838244805,830036864,-8.904065030686881e-17,-1.178152454964596e-16
1731002554943715437,930038912,-8.904065030686881e-17,-1.178152454964596e-16
1731002555042153908,30047104,-8.904082163006832e-17,-1.1781529410049052e-16
1731002555138265003,130052992,-8.904117274477456e-17,-1.1781539371015215e-16
1731002555243326617,230056064,-8.904246763762975e-17,-1.1781576105565278e-16
1731002555339812782,330062976,-8.904484402807565e-17,-1.178164351689836e-16
1731002555438088822,430070656,-8.904496206603453e-17,-1.1781646865159306e-16
1731002555543729710,530071424,-8.904434972699107e-17,-1.17816294954309e-16
1731002555638183756,630078336,-8.904637774515741e-17,-1.1781687021272197e-16
1731002555738303093,730079616,-8.904562495663395e-17,-1.1781665668455364e-16
1731002555839141307,830079360,-8.904669798681614e-17,-1.1781696104756665e-16
1731002555936883160,930080384,-8.904338900829756e-17,-1.17816022428046e-16
1731002556038353424,30085504,-8.904512492250561e-17,-1.178165148471975e-16
1731002556143640052,130086784,-8.904638048128455e-17,-1.1781687098881385e-16
1731002556242230804,230085504,-8.904497327065112e-17,-1.1781647182988436e-16
1731002556338336650,330091904,-8.904425136220033e-17,-1.1781626705164057e-16
1731002556443573684,430091648,-8.904381034856101e-17,-1.178161419503259e-16
1731002556542281292,530090112,-8.904403222347547e-17,-1.1781620488929042e-16
1731002556638272631,630095488,-8.904147330954097e-17,-1.1781547897812525e-16
1731002556741462454,730094976,-8.9039571560868e-17,-1.1781493945230717e-16
1731002556842110161,830095232,-8.903859691223485e-17,-1.1781466293177822e-16
1731002556938783264,930102656,-8.903713070942025e-17,-1.1781424693450625e-16
1731002557043770736,30102400,-8.903857723961474e-17,-1.1781465735030963e-16
1731002557142237114,130101120,-8.903647903674942e-17,-1.1781406203284731e-16
1731002557238290050,230107520,-8.903445380303792e-17,-1.1781348738043267e-16
1731002557343549146,330107776,-8.903404367689985e-17,-1.1781337100411013e-16
1731002557442348657,430107008,-8.903512514494049e-17,-1.1781367787532936e-16
1731002557538375872,530113152,-8.903487513431262e-17,-1.1781360693468901e-16
1731002557643565842,630113408,-8.903259989924732e-17,-1.178129613092574e-16
1731002557738432010,730112640,-8.903363355119108e-17,-1.1781325462636677e-16
1731002557838283857,830118784,-8.903449588483722e-17,-1.1781349932136692e-16
1731002557939240386,930128000,-8.903224879174269e-17,-1.178128616740334e-16
1731002558039225664,30135168,-8.90335942065377e-17,-1.1781324346180154e-16
1731002558138221926,130142336,-8.903414477574983e-17,-1.178133996917992e-16
1731002558243396608,230144896,-8.903001291540522e-17,-1.1781222716366282e-16
1731002558338752087,330151552,-8.902841177557839e-17,-1.1781177275444498e-16
1731002558438458853,430156928,-8.902791749257888e-17,-1.178116324704095e-16
1731002558540569156,530157696,-8.902790902535718e-17,-1.1781163006728078e-16
1731002558642300437,630156672,-8.902917026310042e-17,-1.1781198801885154e-16
1731002558738375941,730158208,-8.902987247323717e-17,-1.1781218730661323e-16
1731002558840645709,830159744,-8.903057468454645e-17,-1.1781238659018512e-16
1731002558937225913,930161024,-8.903304090093283e-17,-1.178130864525218e-16
1731002559038458442,30168704,-8.903315320428643e-17,-1.1781311832061454e-16
1731002559139226606,130169728,-8.903295947460969e-17,-1.1781306334626843e-16
1731002559237559043,230169728,-8.903325156579973e-17,-1.1781314623236478e-16
1731002559338279179,330176896,-8.903233868547202e-17,-1.1781288718365525e-16
1731002559443791107,430178432,-8.903348190309132e-17,-1.1781321159413672e-16
1731002559542246855,530178688,-8.903355486188988e-17,-1.1781323229722367e-16
1731002559638508562,630186880,-8.903786381020625e-17,-1.1781445493543047e-16
1731002559739311020,730186368,-8.903879637522278e-17,-1.178147195227384e-16
1731002559837689946,830186880,-8.90392991381768e-17,-1.1781486216331387e-16
1731002559938544995,930193024,-8.904112219457979e-17,-1.1781537936935913e-16
1731002560039056383,30193280,-8.904122329497419e-17,-1.1781540805092312e-16
1731002560138187662,130192000,-8.904423168924632e-17,-1.1781626147109742e-16
1731002560238832246,230197888,-8.904403222347547e-17,-1.1781620488929042e-16
1731002560340384256,330205824,-8.904563616124422e-17,-1.1781665986277505e-16
1731002560438883785,430205312,-8.904459127516111e-17,-1.1781636347274342e-16
1731002560538825435,530211200,-8.904286656768038e-17,-1.1781587422420292e-16
1731002560643627791,630213248,-8.904573452644001e-17,-1.1781668776430917e-16
1731002560742854207,730214528,-8.904356033254689e-17,-1.178160710280717e-16
1731002560838192579,830223232,-8.904561375202317e-17,-1.1781665350633094e-16
1731002560939925906,930223232,-8.904522328755028e-17,-1.1781654274914995e-16
1731002561038506535,30222464,-8.904124296775094e-17,-1.1781541363195877e-16
1731002561138160205,130221952,-8.903943958350583e-17,-1.1781490200911825e-16
1731002561243641284,230221184,-8.903833569479126e-17,-1.1781458881950224e-16
1731002561342642107,330220672,-8.903792282794717e-17,-1.1781447168017788e-16
1731002561438552868,430227072,-8.903775424265177e-17,-1.1781442384840483e-16
1731002561539267507,530228608,-8.903733290849325e-17,-1.178143043044556e-16
1731002561638039951,630229376,-8.903593966904322e-17,-1.1781390899297342e-16
1731002561738283895,730232448,-8.903825700437962e-17,-1.1781456649343755e-16
1731002561843542447,830233728,-8.903697332917926e-17,-1.1781420228074604e-16
1731002561942257997,930233728,-8.90364396917578e-17,-1.1781405086921292e-16
1731002562038257086,30239104,-8.903755478020236e-17,-1.1781436725569105e-16
1731002562139293135,130240384,-8.903765314301433e-17,-1.1781439516383907e-16
1731002562238294105,230239360,-8.903649024144214e-17,-1.1781406521203193e-16
1731002562338325747,330247296,-8.903534701556938e-17,-1.1781374083075078e-16
1731002562440360791,430248576,-8.903501557816466e-17,-1.1781364678577263e-16
1731002562542222828,530248832,-8.903293133475749e-17,-1.1781305536104108e-16
1731002562638395084,630254720,-8.90293527866212e-17,-1.1781203981959812e-16
1731002562743853548,730257280,-8.902911971421342e-17,-1.1781197367286508e-16
1731002562838109965,830256000,-8.902937245869705e-17,-1.1781204540257659e-16
1731002562938347224,930262144,-8.903070392220471e-17,-1.1781242326660408e-16
1731002563043868111,30262144,-8.903156624981929e-17,-1.1781266798306277e-16
1731002563138786258,130261120,-8.902976564537285e-17,-1.1781215698907712e-16
1731002563238430303,230267264,-8.902578273661243e-17,-1.1781102657276826e-16
1731002563343594700,330267264,-8.902913091897192e-17,-1.1781197685282463e-16
1731002563438849198,430266496,-8.902841750532538e-17,-1.1781177438060958e-16
1731002563538731606,530272640,-8.902816749887183e-17,-1.1781170342577336e-16
1731002563643598393,630272384,-8.902672374163713e-17,-1.1781129365890412e-16
1731002563738883584,730271360,-8.902835848926664e-17,-1.178117576311945e-16
1731002563838423404,830277504,-8.902737539896672e-17,-1.1781147861451503e-16
1731002563940050956,930276992,-8.902772923994291e-17,-1.1781157904123891e-16
1731002564037725590,30278016,-8.902583054742524e-17,-1.178110401431416e-16
1731002564138333679,130284672,-8.902346547037309e-17,-1.1781036882679195e-16
1731002564243598331,230288768,-8.902323787663035e-17,-1.1781030422263852e-16
1731002564338402837,330296192,-8.902465921199215e-17,-1.1781070767132625e-16
1731002564438503361,430302336,-8.902020996289126e-17,-1.1780944468190472e-16
1731002564543730526,530312320,-8.902269578908038e-17,-1.1781015034519745e-16
1731002564642658081,630314112,-8.902379689874868e-17,-1.1781046290431794e-16
1731002564738445299,730316928,-8.902397668238762e-17,-1.1781051393634033e-16
1731002564843651815,830317952,-8.902149084831023e-17,-1.1780980830001347e-16
1731002564942544133,930319488,-8.902298513550499e-17,-1.1781023247965931e-16
1731002565038639784,30324096,-8.902041788314556e-17,-1.1780950370738746e-16
1731002565143713826,130323584,-8.902063700837239e-17,-1.1780956591336689e-16
1731002565242350759,230322816,-8.902172391699824e-17,-1.1780987446199916e-16
1731002565338792587,330327168,-8.902253293974769e-17,-1.1781010411811848e-16
1731002565439691150,430327168,-8.901946568788025e-17,-1.1780923338999514e-16
1731002565542302508,530327680,-8.901779163240302e-17,-1.178087581245459e-16
1731002565638550017,630335360,-8.901749955147755e-17,-1.1780867519994562e-16
1731002565743646882,730337408,-8.9017811303797e-17,-1.1780876370941682e-16
1731002565842360418,830336640,-8.901665119636298e-17,-1.1780843433928454e-16
